leader,0.6575
confident,0.745
admired,0.685
win,0.845
king,0.565
power,0.385
excellence,0.845
victory,0.83
mighty,0.385
brave,0.5375
powerful,0.46
masterful,0.5225
love,0.93
imagine,0.58
pride,0.5
easy,0.525
triumph,0.7
car,0.6825
millionaire,0.7575
cash,0.8425
triumphant,0.955
graduate,0.7975
kiss,0.815
ambition,0.51
strong,0.5275
loyal,0.6375
prestige,0.565
success,0.8225
respect,0.66
bed,0.6275
kitten,0.465
glory,0.6375
fame,0.7325
orgasm,0.83
sexy,0.755
vacation,0.79
fun,0.8425
promotion,0.8
knowledge,0.645
wealthy,0.675
champ,0.545
diploma,0.75
freedom,0.645
progress,0.6825
proud,0.7575
riches,0.675
friend,0.685
perfection,0.5625
wise,0.63
honor,0.665
wedding,0.705
ecstasy,0.745
inspired,0.5375
bold,0.45
savior,0.6825
acceptance,0.745
merry,0.725
happy,0.8025
loved,0.91
optimism,0.4875
trust,0.42
terrific,0.79
joyful,0.805
scholar,0.565
muscular,0.455
quick,0.41
achievement,0.7225
thrill,0.7625
penthouse,0.4525
champion,0.86
engaged,0.75
desire,0.6725
talent,0.64
applause,0.625
justice,0.695
truth,0.7
capable,0.54
enjoyment,0.7
adventure,0.65
laughter,0.8625
rescue,0.675
trophy,0.695
fantasy,0.6025
mobility,0.4575
good,0.6175
bath,0.5825
luxury,0.72
outstanding,0.6875
identity,0.3925
intercourse,0.59
music,0.7825
ace,0.47
erotic,0.6075
alive,0.5625
jolly,0.6025
mind,0.42
treasure,0.8175
advantage,0.4875
free,0.815
learn,0.5375
inspire,0.4925
bright,0.625
option,0.3725
enraged,-0.635
dollar,0.6175
famous,0.495
travel,0.525
holiday,0.6375
intellect,0.455
liberty,0.745
swift,0.365
beautiful,0.65
joy,0.9
outdoors,0.6175
idea,0.5
spring,0.69
money,0.6475
dog,0.6425
virgin,0.3625
flirt,0.63
honest,0.675
agreement,0.52
food,0.6625
devoted,0.6025
excitement,0.625
revolt,-0.2175
grateful,0.5925
color,0.505
sun,0.6375
cat,0.18
heaven,0.575
education,0.4225
pleasure,0.82
fascinate,0.585
joke,0.775
bouquet,0.505
satisfied,0.735
people,0.5825
aroused,0.7425
passion,0.7575
virtue,0.305
dignified,0.525
bliss,0.4875
athletics,0.4025
surprised,0.6175
yacht,0.4875
dinner,0.54
lively,0.55
toy,0.5
romantic,0.83
improve,0.6625
affection,0.8475
humor,0.89
house,0.565
rabbit,0.3925
crown,0.395
lucky,0.7925
decorate,0.4825
paradise,0.93
sweetheart,0.855
couple,0.6025
vision,0.405
dancer,0.535
garden,0.4275
thought,0.3475
fish,0.26
reward,0.6325
silly,0.6025
cheer,0.775
naked,0.335
zest,0.4475
family,0.6625
grin,0.6
soft,0.53
save,0.3625
white,0.3675
nude,0.455
alert,0.3
swimmer,0.385
elegant,0.6075
greet,0.5
kind,0.6475
secure,0.6425
useful,0.535
incentive,0.5
perfume,0.44
penis,0.225
friendly,0.8575
social,0.47
home,0.7275
moral,0.3
patriot,0.4275
birthday,0.71
god,0.7875
invest,0.2325
memories,0.62
interest,0.4925
vagina,0.285
agility,0.365
intimate,0.6525
mad,-0.64
sailboat,0.5625
profit,0.6575
gold,0.635
cuddle,0.68
pet,0.4475
song,0.525
answer,0.4075
field,0.3
detest,-0.7075
party,0.715
caress,0.71
health,0.4525
present,0.4875
milk,0.2375
spirit,0.5
owl,0.2
garter,0.305
lightbulb,0.1525
valentine,0.7775
safe,0.5175
protected,0.5725
abundance,0.3975
girl,0.4675
snow,0.52
nourish,0.365
pasta,0.4225
hug,0.75
delight,0.815
heal,0.5225
carefree,0.635
tower,0.115
treat,0.59
red,0.3525
vehicle,0.3175
defiant,-0.185
festive,0.575
glamour,0.44
bathtub,0.4225
pancakes,0.27
basket,0.1125
sex,0.7625
adult,0.3725
paint,0.155
adorable,0.7025
mother,0.8475
bride,0.585
city,0.2575
tune,0.4825
politeness,0.545
blond,0.3575
fork,0.0725
magical,0.615
employment,0.3675
letter,0.4025
restaurant,0.44
life,0.5675
comfort,0.5175
humane,0.4725
wink,0.4825
game,0.495
palace,0.5475
pizza,0.4125
rage,-0.6475
exercise,0.5325
luscious,0.625
kindness,0.705
infant,0.4875
respectful,0.555
mail,0.47
favor,0.365
coast,0.245
tool,0.0475
method,0.14
face,0.3475
snuggle,0.73
sunset,0.67
highway,0.23
privacy,0.22
coin,0.255
bathroom,0.1375
reunion,0.37
lavish,0.3025
quality,0.3125
father,0.52
masturbate,0.1125
beverage,0.4575
sunlight,0.69
blue,0.44
dazzle,0.5725
earth,0.5375
radiant,0.4325
tennis,0.255
thoughtful,0.6625
warmth,0.6025
eat,0.6175
gender,0.1825
aggressive,0.025
jewel,0.5
office,0.06
twilight,0.5575
farm,0.1325
hard,0.055
nice,0.3875
charm,0.4425
nipple,0.3175
natural,0.3975
wife,0.3325
hairdryer,-0.04
mischief,0.1425
angry,-0.5375
sapphire,0.5
relaxed,0.5
golfer,0.1525
diamond,0.73
breeze,0.4625
legend,0.3475
ocean,0.53
untroubled,0.655
elated,0.6125
man,0.4325
blossom,0.565
beauty,0.705
dream,0.4325
spouse,0.645
opinion,0.32
hydrant,0.005
gift,0.6925
bless,0.5475
hope,0.5125
mushroom,0.195
mystic,0.25
event,0.3025
puppy,0.64
impressed,0.5825
fireworks,0.6375
muffin,0.3925
anger,-0.665
pretty,0.6875
kick,-0.1725
hawk,0.22
flag,0.255
taste,0.415
sugar,0.435
lust,0.53
queen,0.36
heart,0.5975
tidy,0.325
bake,0.2925
daylight,0.45
dove,0.475
bar,0.355
runner,0.1675
salad,0.185
yellow,0.1525
mountain,0.3975
salute,0.23
melody,0.5175
peace,0.68
busybody,0.0425
dustpan,-0.255
beach,0.7575
comedy,0.8425
honey,0.4325
grass,0.28
activate,0.115
repentant,0.1325
umbrella,0.04
curious,0.27
sleep,0.55
vigorous,0.4475
hopeful,0.525
cuisine,0.41
avenue,0.125
utensil,0.035
breast,0.375
circus,0.575
obnoxious,-0.375
cottage,0.3625
hat,0.115
metal,-0.0125
idol,0.28
saint,0.3725
christmas,0.7
watch,0.195
hay,0.06
inhabitant,0.0125
lawn,0.06
soothe,0.575
locker,0.0475
stove,-0.005
devil,-0.6975
miracle,0.9
lesbian,-0.0825
person,0.33
pie,0.3525
hand,0.2375
boy,0.33
body,0.1375
frog,0.1775
pig,0.0175
limber,0.17
clothing,0.385
candy,0.385
truck,0.1175
anxious,-0.0475
tender,0.4825
thankful,0.4725
museum,0.135
cow,0.1425
hamburger,0.3175
wine,0.2375
poetry,0.215
gymnast,0.3375
young,0.4725
art,0.42
book,0.18
awed,0.425
garment,0.2675
shotgun,-0.1575
sunrise,0.715
pest,-0.4675
computer,0.31
ketchup,0.15
swamp,0.035
innocent,0.3775
radio,0.4325
fight,-0.31
whistle,0.2025
lamp,0.1025
market,0.165
outrage,-0.37
world,0.375
item,0.065
chin,0.0725
journal,0.035
evil,-0.4425
lighthouse,0.2225
easygoing,0.55
building,0.0725
kerchief,0.0275
foam,0.2675
urine,-0.4375
trash,-0.5825
windmill,0.15
machine,0.0225
tense,-0.36
clouds,0.295
detail,0.1375
space,0.445
waterfall,0.72
astronaut,0.415
quart,0.0975
weapon,-0.2575
handsome,0.7325
nursery,0.1825
violin,0.1075
voyage,0.3125
chocolate,0.47
controlling,-0.3
cannon,-0.025
orchestra,0.255
context,0.05
violent,-0.6775
