leader,7.63
confident,7.98
admired,7.74
win,8.38
king,7.26
power,6.54
excellence,8.38
victory,8.32
mighty,6.54
brave,7.15
powerful,6.84
masterful,7.09
love,8.72
imagine,7.32
pride,7
easy,7.1
triumph,7.8
car,7.73
millionaire,8.03
cash,8.37
triumphant,8.82
graduate,8.19
kiss,8.26
ambition,7.04
strong,7.11
loyal,7.55
prestige,7.26
success,8.29
respect,7.64
bed,7.51
kitten,6.86
glory,7.55
fame,7.93
orgasm,8.32
sexy,8.02
vacation,8.16
fun,8.37
promotion,8.2
knowledge,7.58
wealthy,7.7
champ,7.18
diploma,8
freedom,7.58
progress,7.73
proud,8.03
riches,7.7
friend,7.74
perfection,7.25
wise,7.52
honor,7.66
wedding,7.82
ecstasy,7.98
inspired,7.15
bold,6.8
savior,7.73
acceptance,7.98
merry,7.9
happy,8.21
loved,8.64
optimism,6.95
trust,6.68
terrific,8.16
joyful,8.22
scholar,7.26
muscular,6.82
quick,6.64
achievement,7.89
thrill,8.05
penthouse,6.81
champion,8.44
engaged,8
desire,7.69
talent,7.56
applause,7.5
justice,7.78
truth,7.8
capable,7.16
enjoyment,7.8
adventure,7.6
laughter,8.45
rescue,7.7
trophy,7.78
fantasy,7.41
mobility,6.83
good,7.47
bath,7.33
luxury,7.88
outstanding,7.75
identity,6.57
intercourse,7.36
music,8.13
ace,6.88
erotic,7.43
alive,7.25
jolly,7.41
mind,6.68
treasure,8.27
advantage,6.95
free,8.26
learn,7.15
inspire,6.97
bright,7.5
option,6.49
enraged,2.46
dollar,7.47
famous,6.98
travel,7.1
holiday,7.55
intellect,6.82
liberty,7.98
swift,6.46
beautiful,7.6
joy,8.6
outdoors,7.47
idea,7
spring,7.76
money,7.59
dog,7.57
virgin,6.45
flirt,7.52
honest,7.7
agreement,7.08
food,7.65
devoted,7.41
excitement,7.5
revolt,4.13
grateful,7.37
color,7.02
sun,7.55
cat,5.72
heaven,7.3
education,6.69
pleasure,8.28
fascinate,7.34
joke,8.1
bouquet,7.02
satisfied,7.94
people,7.33
aroused,7.97
passion,8.03
virtue,6.22
dignified,7.1
bliss,6.95
athletics,6.61
surprised,7.47
yacht,6.95
dinner,7.16
lively,7.2
toy,7
romantic,8.32
improve,7.65
affection,8.39
humor,8.56
house,7.26
rabbit,6.57
crown,6.58
lucky,8.17
decorate,6.93
paradise,8.72
sweetheart,8.42
couple,7.41
vision,6.62
dancer,7.14
garden,6.71
thought,6.39
fish,6.04
reward,7.53
silly,7.41
cheer,8.1
naked,6.34
zest,6.79
family,7.65
grin,7.4
soft,7.12
save,6.45
white,6.47
nude,6.82
alert,6.2
swimmer,6.54
elegant,7.43
greet,7
kind,7.59
secure,7.57
useful,7.14
incentive,7
perfume,6.76
penis,5.9
friendly,8.43
social,6.88
home,7.91
moral,6.2
patriot,6.71
birthday,7.84
god,8.15
invest,5.93
memories,7.48
interest,6.97
vagina,6.14
agility,6.46
intimate,7.61
mad,2.44
sailboat,7.25
profit,7.63
gold,7.54
cuddle,7.72
pet,6.79
song,7.1
answer,6.63
field,6.2
detest,2.17
party,7.86
caress,7.84
health,6.81
present,6.95
milk,5.95
spirit,7
owl,5.8
garter,6.22
lightbulb,5.61
valentine,8.11
safe,7.07
protected,7.29
abundance,6.59
girl,6.87
snow,7.08
nourish,6.46
pasta,6.69
hug,8
delight,8.26
heal,7.09
carefree,7.54
tower,5.46
treat,7.36
red,6.41
vehicle,6.27
defiant,4.26
festive,7.3
glamour,6.76
bathtub,6.69
pancakes,6.08
basket,5.45
sex,8.05
adult,6.49
paint,5.62
adorable,7.81
mother,8.39
bride,7.34
city,6.03
tune,6.93
politeness,7.18
blond,6.43
fork,5.29
magical,7.46
employment,6.47
letter,6.61
restaurant,6.76
life,7.27
comfort,7.07
humane,6.89
wink,6.93
game,6.98
palace,7.19
pizza,6.65
rage,2.41
exercise,7.13
luscious,7.5
kindness,7.82
infant,6.95
respectful,7.22
mail,6.88
favor,6.46
coast,5.98
tool,5.19
method,5.56
face,6.39
snuggle,7.92
sunset,7.68
highway,5.92
privacy,5.88
coin,6.02
bathroom,5.55
reunion,6.48
lavish,6.21
quality,6.25
father,7.08
masturbate,5.45
beverage,6.83
sunlight,7.76
blue,6.76
dazzle,7.29
earth,7.15
radiant,6.73
tennis,6.02
thoughtful,7.65
warmth,7.41
eat,7.47
gender,5.73
aggressive,5.1
jewel,7
office,5.24
twilight,7.23
farm,5.53
hard,5.22
nice,6.55
charm,6.77
nipple,6.27
natural,6.59
wife,6.33
hairdryer,4.84
mischief,5.57
angry,2.85
sapphire,7
relaxed,7
golfer,5.61
diamond,7.92
breeze,6.85
legend,6.39
ocean,7.12
untroubled,7.62
elated,7.45
man,6.73
blossom,7.26
beauty,7.82
dream,6.73
spouse,7.58
opinion,6.28
hydrant,5.02
gift,7.77
bless,7.19
hope,7.05
mushroom,5.78
mystic,6
event,6.21
puppy,7.56
impressed,7.33
fireworks,7.55
muffin,6.57
anger,2.34
pretty,7.75
kick,4.31
hawk,5.88
flag,6.02
taste,6.66
sugar,6.74
lust,7.12
queen,6.44
heart,7.39
tidy,6.3
bake,6.17
daylight,6.8
dove,6.9
bar,6.42
runner,5.67
salad,5.74
yellow,5.61
mountain,6.59
salute,5.92
melody,7.07
peace,7.72
busybody,5.17
dustpan,3.98
beach,8.03
comedy,8.37
honey,6.73
grass,6.12
activate,5.46
repentant,5.53
umbrella,5.16
curious,6.08
sleep,7.2
vigorous,6.79
hopeful,7.1
cuisine,6.64
avenue,5.5
utensil,5.14
breast,6.5
circus,7.3
obnoxious,3.5
cottage,6.45
hat,5.46
metal,4.95
idol,6.12
saint,6.49
christmas,7.8
watch,5.78
hay,5.24
inhabitant,5.05
lawn,5.24
soothe,7.3
locker,5.19
stove,4.98
devil,2.21
miracle,8.6
lesbian,4.67
person,6.32
pie,6.41
hand,5.95
boy,6.32
body,5.55
frog,5.71
pig,5.07
limber,5.68
clothing,6.54
candy,6.54
truck,5.47
anxious,4.81
tender,6.93
thankful,6.89
museum,5.54
cow,5.57
hamburger,6.27
wine,5.95
poetry,5.86
gymnast,6.35
young,6.89
art,6.68
book,5.72
awed,6.7
garment,6.07
shotgun,4.37
sunrise,7.86
pest,3.13
computer,6.24
ketchup,5.6
swamp,5.14
innocent,6.51
radio,6.73
fight,3.76
whistle,5.81
lamp,5.41
market,5.66
outrage,3.52
world,6.5
item,5.26
chin,5.29
journal,5.14
evil,3.23
lighthouse,5.89
easygoing,7.2
building,5.29
kerchief,5.11
foam,6.07
urine,3.25
trash,2.67
windmill,5.6
machine,5.09
tense,3.56
clouds,6.18
detail,5.55
space,6.78
waterfall,7.88
astronaut,6.66
quart,5.39
weapon,3.97
handsome,7.93
nursery,5.73
violin,5.43
voyage,6.25
chocolate,6.88
controlling,3.8
cannon,4.9
orchestra,6.02
context,5.2
violent,2.29
dawn,6.16
name,5.55
cake,7.26
sky,7.37
scissors,5.05
astonished,6.56
rock,5.56
leisurely,6.88
autumn,6.3
arrogant,3.69
fragrance,6.07
trunk,5.09
black,5.39
cook,6.16
contempt,3.85
ship,5.55
brother,7.11
casino,6.81
hotel,6
serious,5.08
material,5.26
spray,5.45
youth,6.75
snob,3.36
teacher,5.68
memory,6.62
unit,5.59
rollercoaster,8.02
child,7.08
gentle,7.31
river,6.85
boxer,5.51
air,6.34
iron,4.9
smooth,6.58
annoy,2.74
sentiment,5.98
vest,5.25
tree,6.32
water,6.61
kids,6.91
lantern,5.57
arm,5.34
hate,2.12
pistol,4.2
vampire,4.26
manner,5.64
finger,5.29
jug,5.24
curtains,4.83
appliance,5.1
hairpin,5.26
wagon,5.37
icebox,4.95
diver,6.45
army,4.72
burdened,2.5
irritate,3.11
fabric,5.3
circle,5.67
passage,5.28
baby,8.22
church,6.28
nasty,3.58
refreshment,7.44
dress,6.41
custom,5.85
movie,6.86
engine,5.2
corridor,4.88
glass,4.75
coarse,4.55
kettle,5.22
cord,5.1
sphere,5.33
menace,2.88
flower,6.64
key,5.68
stool,4.56
board,4.82
foot,5.02
cork,5.22
angel,7.53
bunny,7.24
concentrate,5.2
modest,5.76
nature,7.65
mantel,4.93
statue,5.17
destroy,2.64
village,5.92
stiff,4.68
noisy,5.02
nun,4.93
betray,1.68
pollute,1.85
glacier,5.5
rude,2.5
industry,5.3
lamb,5.89
razor,4.81
poster,5.34
window,5.91
slush,4.66
skijump,7.06
patient,5.29
infatuation,6.73
lake,6.82
patent,5.29
carcass,3.34
nonsense,4.61
demon,2.11
doctor,5.2
